requirement_id,source_gap,decision_id,stage_id,task_id,discovery_id,test_ids,acceptance,evidence_slot,status
REQ-001,GAP-001,DEC-0001,STAGE-1-BASELINE,TASK-1-001,DISCOVERY-001,TEST-001|TEST-002,D1 A/B 재조회,DONE-O,BLOCKED_EXTERNAL
REQ-002,GAP-002,DEC-0002,STAGE-1-BASELINE,TASK-1-002,DISCOVERY-002,TEST-003|TEST-004,OAuth state nonce PKCE,DONE-O,BLOCKED_EXTERNAL
REQ-003,GAP-003,DEC-0003,STAGE-1-BASELINE,TASK-1-003,DISCOVERY-003,TEST-005,지정 DNS HTTPS 200,DONE-B,BLOCKED_EXTERNAL
REQ-004,GAP-004,DEC-0004,STAGE-3-CORE,TASK-3-001,DISCOVERY-004,TEST-006|TEST-007,권리·확인시각·철회,DONE-O,WAITING_EXTERNAL
REQ-005,GAP-005,DEC-0005,STAGE-5-RELEASE,TASK-5-003,DISCOVERY-005,TEST-008|TEST-009,운영자·법률·문의 왕복,DONE-O,WAITING_EXTERNAL
REQ-006,GAP-006,DEC-0006,STAGE-5-RELEASE,TASK-5-001,DISCOVERY-006,TEST-010|TEST-011,승인된 Android 한 대,DONE-D,NOT_RUN
REQ-007,GAP-007,DEC-0007,STAGE-3-CORE,TASK-3-002,DISCOVERY-007,TEST-012,알림 동의·해제,DONE-B,PLANNED
REQ-008,GAP-008,DEC-0008,STAGE-3-CORE,TASK-3-003,DISCOVERY-008,TEST-013,지점 정규화,DONE-O,PLANNED
REQ-009,GAP-009,DEC-0009,STAGE-4-QUALITY,TASK-4-003,DISCOVERY-009,TEST-014|TEST-015,광고 CMP·표식,DONE-E,WAITING_EXTERNAL
REQ-010,GAP-010,DEC-0010,STAGE-5-RELEASE,TASK-5-002,DISCOVERY-010,TEST-016|TEST-017,checksum 복구,DONE-O,BLOCKED_EXTERNAL
